Using cuda device
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v12\logs\pp_v12_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 23.6     |
|    ep_rew_mean     | 2.93     |
| time/              |          |
|    fps             | 4460     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 349          |
|    ep_rew_mean          | -364         |
| time/                   |              |
|    fps                  | 3207         |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0057099196 |
|    clip_fraction        | 0.0519       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | 0.0288       |
|    learning_rate        | 0.0003       |
|    loss                 | 10.1         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00352     |
|    std                  | 0.995        |
|    value_loss           | 100          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 405          |
|    ep_rew_mean          | -379         |
| time/                   |              |
|    fps                  | 3030         |
|    iterations           | 3            |
|    time_elapsed         | 8            |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0050735576 |
|    clip_fraction        | 0.0325       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | 0.384        |
|    learning_rate        | 0.0003       |
|    loss                 | 10.6         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00349     |
|    std                  | 0.997        |
|    value_loss           | 54.4         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 426        |
|    ep_rew_mean          | -417       |
| time/                   |            |
|    fps                  | 2923       |
|    iterations           | 4          |
|    time_elapsed         | 11         |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.00587646 |
|    clip_fraction        | 0.038      |
|    clip_range           | 0.2        |
|    entropy_loss         | -5.66      |
|    explained_variance   | 0.569      |
|    learning_rate        | 0.0003     |
