Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v18/checkpoints/ckpt_800000.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v19\logs\pp_v19_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 23.3     |
|    ep_rew_mean     | 30       |
| time/              |          |
|    fps             | 3699     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 97.4       |
|    ep_rew_mean          | -5.5       |
| time/                   |            |
|    fps                  | 1514       |
|    iterations           | 2          |
|    time_elapsed         | 10         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.02142853 |
|    clip_fraction        | 0.205      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.36      |
|    explained_variance   | 0.981      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.69       |
|    n_updates            | 21690      |
|    policy_gradient_loss | -0.00459   |
|    std                  | 0.485      |
|    value_loss           | 13.3       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92          |
|    ep_rew_mean          | -4.72       |
| time/                   |             |
|    fps                  | 1260        |
|    iterations           | 3           |
|    time_elapsed         | 19          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.021089464 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.38       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.571       |
|    n_updates            | 21700       |
|    policy_gradient_loss | 0.00306     |
|    std                  | 0.487       |
|    value_loss           | 2.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.6        |
|    ep_rew_mean          | -1.55       |
| time/                   |             |
|    fps                  | 1174        |
|    iterations           | 4           |
|    time_elapsed         | 27          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.020316534 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.39       |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.214       |
|    n_updates            | 21710       |
|    policy_gradient_loss | 0.00296     |
|    std                  | 0.491       |
|    value_loss           | 4.95        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 79.8      |
|    ep_rew_mean          | 3.02      |
| time/                   |           |
|    fps                  | 1118      |
|    iterations           | 5         |
|    time_elapsed         | 36        |
|    total_timesteps      | 40960     |
| train/                  |           |
|    approx_kl            | 0.0270384 |
|    clip_fraction        | 0.184     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.4      |
|    explained_variance   | 0.973     |
|    learning_rate        | 0.0003    |
|    loss                 | 2.16      |
|    n_updates            | 21720     |
|    policy_gradient_loss | -0.00175  |
|    std                  | 0.488     |
|    value_loss           | 8.8       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | -8.46       |
| time/                   |             |
|    fps                  | 1093        |
|    iterations           | 6           |
|    time_elapsed         | 44          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.026359852 |
|    clip_fraction        | 0.312       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.4        |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.422       |
|    n_updates            | 21730       |
|    policy_gradient_loss | 0.000889    |
|    std                  | 0.488       |
|    value_loss           | 2.71        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.7        |
|    ep_rew_mean          | -1.62       |
| time/                   |             |
|    fps                  | 1066        |
|    iterations           | 7           |
|    time_elapsed         | 53          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.023011502 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.41       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.24        |
|    n_updates            | 21740       |
|    policy_gradient_loss | 0.00169     |
|    std                  | 0.491       |
|    value_loss           | 2.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.8        |
|    ep_rew_mean          | 12.4        |
| time/                   |             |
|    fps                  | 1053        |
|    iterations           | 8           |
|    time_elapsed         | 62          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.020335063 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.76        |
|    n_updates            | 21750       |
|    policy_gradient_loss | -0.00164    |
|    std                  | 0.494       |
|    value_loss           | 4.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | -10.8       |
| time/                   |             |
|    fps                  | 1041        |
|    iterations           | 9           |
|    time_elapsed         | 70          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.021144504 |
|    clip_fraction        | 0.22        |
