Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v8/checkpoints/ckpt_1800036.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v10\logs\pp_v10_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 36.2     |
|    ep_rew_mean     | 27.7     |
| time/              |          |
|    fps             | 4455     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 224         |
|    ep_rew_mean          | -69         |
| time/                   |             |
|    fps                  | 1604        |
|    iterations           | 2           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.038373787 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.284       |
|    explained_variance   | 0.139       |
|    learning_rate        | 0.0003      |
|    loss                 | 31.7        |
|    n_updates            | 9760        |
|    policy_gradient_loss | 0.0141      |
|    std                  | 0.231       |
|    value_loss           | 82.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 249         |
|    ep_rew_mean          | -87.7       |
| time/                   |             |
|    fps                  | 1327        |
|    iterations           | 3           |
|    time_elapsed         | 18          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.027118295 |
|    clip_fraction        | 0.292       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.235       |
|    explained_variance   | 0.513       |
|    learning_rate        | 0.0003      |
|    loss                 | 30.3        |
|    n_updates            | 9770        |
|    policy_gradient_loss | 0.00899     |
|    std                  | 0.233       |
|    value_loss           | 48.5        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 291        |
|    ep_rew_mean          | -96.5      |
| time/                   |            |
|    fps                  | 1231       |
|    iterations           | 4          |
|    time_elapsed         | 26         |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.03405255 |
|    clip_fraction        | 0.306      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.164      |
|    explained_variance   | 0.571      |
|    learning_rate        | 0.0003     |
|    loss                 | 6.28       |
|    n_updates            | 9780       |
|    policy_gradient_loss | 0.00934    |
|    std                  | 0.238      |
|    value_loss           | 26.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 284         |
|    ep_rew_mean          | -87.9       |
| time/                   |             |
|    fps                  | 1170        |
|    iterations           | 5           |
|    time_elapsed         | 34          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.031412657 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.157       |
|    explained_variance   | 0.658       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.15        |
|    n_updates            | 9790        |
|    policy_gradient_loss | 0.00791     |
|    std                  | 0.238       |
|    value_loss           | 22.5        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 313        |
|    ep_rew_mean          | -103       |
| time/                   |            |
|    fps                  | 1138       |
|    iterations           | 6          |
|    time_elapsed         | 43         |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.03021635 |
|    clip_fraction        | 0.286      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.117      |
|    explained_variance   | 0.549      |
|    learning_rate        | 0.0003     |
|    loss                 | 6.42       |
|    n_updates            | 9800       |
|    policy_gradient_loss | 0.0062     |
|    std                  | 0.241      |
|    value_loss           | 15.5       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 309         |
|    ep_rew_mean          | -95.8       |
| time/                   |             |
|    fps                  | 1113        |
|    iterations           | 7           |
|    time_elapsed         | 51          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.035677806 |
|    clip_fraction        | 0.258       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0598      |
|    explained_variance   | 0.786       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.92        |
|    n_updates            | 9810        |
|    policy_gradient_loss | 0.00658     |
|    std                  | 0.244       |
|    value_loss           | 12.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 347         |
|    ep_rew_mean          | -129        |
| time/                   |             |
|    fps                  | 1094        |
|    iterations           | 8           |
|    time_elapsed         | 59          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.019643571 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.024       |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.92        |
|    n_updates            | 9820        |
|    policy_gradient_loss | 0.0014      |
|    std                  | 0.246       |
|    value_loss           | 22.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 341         |
|    ep_rew_mean          | -135        |
| time/                   |             |
|    fps                  | 1080        |
|    iterations           | 9           |
|    time_elapsed         | 68          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.023994498 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.00463    |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.0003      |
|    loss                 | 9.31        |
|    n_updates            | 9830        |
|    policy_gradient_loss | 0.00184     |
|    std                  | 0.248       |
|    value_loss           | 24.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 313         |
|    ep_rew_mean          | -118        |
| time/                   |             |
|    fps                  | 1080        |
|    iterations           | 10          |
|    time_elapsed         | 75          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.028171767 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.035      |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.71        |
|    n_updates            | 9840        |
|    policy_gradient_loss | 0.00195     |
|    std                  | 0.25        |
|    value_loss           | 23.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 305         |
|    ep_rew_mean          | -105        |
| time/                   |             |
|    fps                  | 1075        |
|    iterations           | 11          |
|    time_elapsed         | 83          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.032569557 |
|    clip_fraction        | 0.33        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0782     |
|    explained_variance   | 0.926       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.59        |
|    n_updates            | 9850        |
|    policy_gradient_loss | 0.00454     |
|    std                  | 0.253       |
|    value_loss           | 13.6        |
-----------------------------------------
