Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v17/checkpoints/ckpt_1400000.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v18\logs\pp_v18_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 24.3     |
|    ep_rew_mean     | 30.2     |
| time/              |          |
|    fps             | 3674     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86          |
|    ep_rew_mean          | 1.75        |
| time/                   |             |
|    fps                  | 1535        |
|    iterations           | 2           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.020551443 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.84        |
|    n_updates            | 20720       |
|    policy_gradient_loss | -0.00689    |
|    std                  | 0.47        |
|    value_loss           | 6.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.5        |
|    ep_rew_mean          | 4.04        |
| time/                   |             |
|    fps                  | 1266        |
|    iterations           | 3           |
|    time_elapsed         | 19          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.023640301 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.134       |
|    n_updates            | 20730       |
|    policy_gradient_loss | 0.00194     |
|    std                  | 0.467       |
|    value_loss           | 2.76        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 74.3       |
|    ep_rew_mean          | 3.55       |
| time/                   |            |
|    fps                  | 1180       |
|    iterations           | 4          |
|    time_elapsed         | 27         |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.03314334 |
|    clip_fraction        | 0.249      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.34      |
|    explained_variance   | 0.993      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.653      |
|    n_updates            | 20740      |
|    policy_gradient_loss | -0.000145  |
|    std                  | 0.47       |
|    value_loss           | 3          |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | -8.8        |
| time/                   |             |
|    fps                  | 1124        |
|    iterations           | 5           |
|    time_elapsed         | 36          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.029838119 |
|    clip_fraction        | 0.263       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.32       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.458       |
|    n_updates            | 20750       |
|    policy_gradient_loss | -0.00163    |
|    std                  | 0.468       |
|    value_loss           | 4.54        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.4        |
|    ep_rew_mean          | 6.16        |
| time/                   |             |
|    fps                  | 1096        |
|    iterations           | 6           |
|    time_elapsed         | 44          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.027682826 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.29       |
|    explained_variance   | 0.997       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0507      |
|    n_updates            | 20760       |
|    policy_gradient_loss | -0.000188   |
|    std                  | 0.463       |
|    value_loss           | 1.7         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 91.8       |
|    ep_rew_mean          | 0.128      |
| time/                   |            |
|    fps                  | 1068       |
|    iterations           | 7          |
|    time_elapsed         | 53         |
|    total_timesteps      | 57344      |
| train/                  |            |
