Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v10/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v11\logs\pp_v11_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 37.2     |
|    ep_rew_mean     | 29.1     |
| time/              |          |
|    fps             | 4221     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 239         |
|    ep_rew_mean          | -76.8       |
| time/                   |             |
|    fps                  | 1694        |
|    iterations           | 2           |
|    time_elapsed         | 9           |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.010682377 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.52       |
|    explained_variance   | 0.926       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.95        |
|    n_updates            | 10730       |
|    policy_gradient_loss | -0.00311    |
|    std                  | 0.461       |
|    value_loss           | 12.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 262         |
|    ep_rew_mean          | -69         |
| time/                   |             |
|    fps                  | 1422        |
|    iterations           | 3           |
|    time_elapsed         | 17          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.016990772 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.58       |
|    explained_variance   | 0.938       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.29        |
|    n_updates            | 10740       |
|    policy_gradient_loss | -0.00228    |
|    std                  | 0.469       |
|    value_loss           | 8.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 290         |
|    ep_rew_mean          | -73.5       |
| time/                   |             |
|    fps                  | 1316        |
|    iterations           | 4           |
|    time_elapsed         | 24          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.016671922 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.64       |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.49        |
|    n_updates            | 10750       |
|    policy_gradient_loss | -0.00724    |
|    std                  | 0.474       |
|    value_loss           | 6.02        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 281         |
|    ep_rew_mean          | -59.2       |
| time/                   |             |
|    fps                  | 1292        |
|    iterations           | 5           |
|    time_elapsed         | 31          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.014273085 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.912       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.69        |
|    n_updates            | 10760       |
|    policy_gradient_loss | -0.00372    |
|    std                  | 0.479       |
|    value_loss           | 8.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 276         |
|    ep_rew_mean          | -66.9       |
| time/                   |             |
|    fps                  | 1283        |
|    iterations           | 6           |
|    time_elapsed         | 38          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.017273495 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.71       |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.09        |
|    n_updates            | 10770       |
|    policy_gradient_loss | -0.00484    |
|    std                  | 0.482       |
|    value_loss           | 10.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 309         |
|    ep_rew_mean          | -86.1       |
| time/                   |             |
|    fps                  | 1277        |
|    iterations           | 7           |
|    time_elapsed         | 44          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.010681518 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | 17.3        |
|    n_updates            | 10780       |
|    policy_gradient_loss | -0.00144    |
|    std                  | 0.484       |
|    value_loss           | 7.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 339         |
|    ep_rew_mean          | -96.8       |
| time/                   |             |
|    fps                  | 1268        |
|    iterations           | 8           |
|    time_elapsed         | 51          |
