Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v22/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v23\logs\pp_v23_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 94.6     |
|    ep_rew_mean     | -26.5    |
| time/              |          |
|    fps             | 3914     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 134         |
|    ep_rew_mean          | -37.1       |
| time/                   |             |
|    fps                  | 2862        |
|    iterations           | 2           |
|    time_elapsed         | 5           |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.013579557 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.71       |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.49        |
|    n_updates            | 2460        |
|    policy_gradient_loss | -0.00374    |
|    std                  | 0.482       |
|    value_loss           | 12.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 176         |
|    ep_rew_mean          | -51         |
| time/                   |             |
|    fps                  | 2696        |
|    iterations           | 3           |
|    time_elapsed         | 9           |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.014985304 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.918       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.11        |
|    n_updates            | 2470        |
|    policy_gradient_loss | -0.00359    |
|    std                  | 0.485       |
|    value_loss           | 11.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 184         |
|    ep_rew_mean          | -55.6       |
| time/                   |             |
|    fps                  | 2563        |
|    iterations           | 4           |
|    time_elapsed         | 12          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.011000709 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.89        |
|    learning_rate        | 0.0003      |
|    loss                 | 5.34        |
|    n_updates            | 2480        |
|    policy_gradient_loss | -0.00512    |
|    std                  | 0.486       |
|    value_loss           | 8.2         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 163         |
|    ep_rew_mean          | -49.5       |
| time/                   |             |
|    fps                  | 2493        |
|    iterations           | 5           |
|    time_elapsed         | 16          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.009867398 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.865       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.39        |
|    n_updates            | 2490        |
|    policy_gradient_loss | -0.00302    |
|    std                  | 0.487       |
|    value_loss           | 14.6        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 182          |
|    ep_rew_mean          | -56.5        |
| time/                   |              |
|    fps                  | 2466         |
|    iterations           | 6            |
|    time_elapsed         | 19           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0108977575 |
|    clip_fraction        | 0.147        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.74        |
|    explained_variance   | 0.902        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.72         |
|    n_updates            | 2500         |
|    policy_gradient_loss | -0.00307     |
|    std                  | 0.489        |
|    value_loss           | 10.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 178          |
|    ep_rew_mean          | -54.1        |
| time/                   |              |
|    fps                  | 2450         |
|    iterations           | 7            |
|    time_elapsed         | 23           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0107693905 |
|    clip_fraction        | 0.14         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.75        |
|    explained_variance   | 0.892        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.75         |
|    n_updates            | 2510         |
|    policy_gradient_loss | -0.00419     |
|    std                  | 0.487        |
|    value_loss           | 11.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 176         |
|    ep_rew_mean          | -54.9       |
| time/                   |             |
|    fps                  | 2450        |
|    iterations           | 8           |
|    time_elapsed         | 26          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.011312345 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.75       |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.77        |
|    n_updates            | 2520        |
|    policy_gradient_loss | -0.00599    |
|    std                  | 0.487       |
|    value_loss           | 18.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 184         |
|    ep_rew_mean          | -57.2       |
| time/                   |             |
|    fps                  | 2421        |
|    iterations           | 9           |
|    time_elapsed         | 30          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.012545707 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.916       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.31        |
|    n_updates            | 2530        |
|    policy_gradient_loss | -0.00557    |
|    std                  | 0.486       |
|    value_loss           | 10.3        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | -50.4      |
| time/                   |            |
|    fps                  | 2400       |
|    iterations           | 10         |
|    time_elapsed         | 34         |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.01601408 |
|    clip_fraction        | 0.166      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.74      |
|    explained_variance   | 0.913      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.38       |
|    n_updates            | 2540       |
|    policy_gradient_loss | -0.00379   |
|    std                  | 0.484      |
|    value_loss           | 9.86       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 159         |
|    ep_rew_mean          | -44.5       |
| time/                   |             |
|    fps                  | 2406        |
|    iterations           | 11          |
|    time_elapsed         | 37          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.013064869 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.29        |
|    n_updates            | 2550        |
|    policy_gradient_loss | -0.00326    |
|    std                  | 0.481       |
|    value_loss           | 8.91        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 154         |
|    ep_rew_mean          | -45.1       |
| time/                   |             |
|    fps                  | 2409        |
|    iterations           | 12          |
|    time_elapsed         | 40          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.013227578 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.7        |
|    explained_variance   | 0.927       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.55        |
|    n_updates            | 2560        |
|    policy_gradient_loss | -0.00412    |
|    std                  | 0.48        |
|    value_loss           | 11.3        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 135        |
|    ep_rew_mean          | -38.6      |
| time/                   |            |
|    fps                  | 2406       |
|    iterations           | 13         |
|    time_elapsed         | 44         |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.01299247 |
|    clip_fraction        | 0.16       |
|    clip_range           | 0.2        |
