Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v23/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v24\logs\pp_v24_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 55.7     |
|    ep_rew_mean     | -2.75    |
| time/              |          |
|    fps             | 3880     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 123          |
|    ep_rew_mean          | -22.3        |
| time/                   |              |
|    fps                  | 2887         |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0150251165 |
|    clip_fraction        | 0.155        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.15        |
|    explained_variance   | 0.878        |
|    learning_rate        | 0.0003       |
|    loss                 | 8.43         |
|    n_updates            | 4910         |
|    policy_gradient_loss | -0.00682     |
|    std                  | 0.336        |
|    value_loss           | 23           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | -29.6       |
| time/                   |             |
|    fps                  | 2753        |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.021450933 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.14       |
|    explained_variance   | 0.933       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.45        |
|    n_updates            | 4920        |
|    policy_gradient_loss | -0.00603    |
|    std                  | 0.335       |
|    value_loss           | 11.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 130         |
|    ep_rew_mean          | -22.9       |
| time/                   |             |
|    fps                  | 2591        |
|    iterations           | 4           |
|    time_elapsed         | 12          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.019792233 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.13       |
|    explained_variance   | 0.91        |
|    learning_rate        | 0.0003      |
|    loss                 | 5.25        |
|    n_updates            | 4930        |
|    policy_gradient_loss | -0.00493    |
|    std                  | 0.334       |
|    value_loss           | 11.2        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 131        |
|    ep_rew_mean          | -21.5      |
| time/                   |            |
|    fps                  | 2512       |
|    iterations           | 5          |
|    time_elapsed         | 16         |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.01543453 |
|    clip_fraction        | 0.196      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.1       |
|    explained_variance   | 0.909      |
|    learning_rate        | 0.0003     |
|    loss                 | 8.54       |
|    n_updates            | 4940       |
|    policy_gradient_loss | -0.00654   |
|    std                  | 0.33       |
|    value_loss           | 17.8       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 128         |
|    ep_rew_mean          | -18.3       |
| time/                   |             |
|    fps                  | 2466        |
|    iterations           | 6           |
|    time_elapsed         | 19          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.023121784 |
|    clip_fraction        | 0.281       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 13.8        |
|    n_updates            | 4950        |
|    policy_gradient_loss | -0.004      |
|    std                  | 0.329       |
|    value_loss           | 11.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -26.4       |
| time/                   |             |
|    fps                  | 2443        |
|    iterations           | 7           |
|    time_elapsed         | 23          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.016413148 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.51        |
|    n_updates            | 4960        |
|    policy_gradient_loss | -0.00663    |
|    std                  | 0.328       |
|    value_loss           | 12.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 105         |
|    ep_rew_mean          | -11.4       |
| time/                   |             |
|    fps                  | 2432        |
|    iterations           | 8           |
|    time_elapsed         | 26          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.024829157 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.904       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.44        |
|    n_updates            | 4970        |
|    policy_gradient_loss | -0.00264    |
|    std                  | 0.326       |
|    value_loss           | 14.7        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 132        |
|    ep_rew_mean          | -20.9      |
| time/                   |            |
|    fps                  | 2416       |
|    iterations           | 9          |
|    time_elapsed         | 30         |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.01809726 |
|    clip_fraction        | 0.218      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.02      |
|    explained_variance   | 0.947      |
|    learning_rate        | 0.0003     |
|    loss                 | 5.48       |
|    n_updates            | 4980       |
|    policy_gradient_loss | -0.0064    |
|    std                  | 0.326      |
|    value_loss           | 12         |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -28.8       |
| time/                   |             |
|    fps                  | 2402        |
|    iterations           | 10          |
|    time_elapsed         | 34          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.018227143 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.933       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.49        |
|    n_updates            | 4990        |
|    policy_gradient_loss | -0.00358    |
|    std                  | 0.325       |
|    value_loss           | 10.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | -30.2       |
| time/                   |             |
|    fps                  | 2404        |
|    iterations           | 11          |
|    time_elapsed         | 37          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.018736938 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.42        |
|    n_updates            | 5000        |
|    policy_gradient_loss | -0.00399    |
|    std                  | 0.325       |
|    value_loss           | 10.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 154         |
|    ep_rew_mean          | -27.3       |
| time/                   |             |
|    fps                  | 2411        |
|    iterations           | 12          |
|    time_elapsed         | 40          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.020723857 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.997      |
|    explained_variance   | 0.927       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.95        |
|    n_updates            | 5010        |
|    policy_gradient_loss | -0.00733    |
|    std                  | 0.324       |
|    value_loss           | 9.37        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 141        |
|    ep_rew_mean          | -22.2      |
| time/                   |            |
|    fps                  | 2408       |
|    iterations           | 13         |
|    time_elapsed         | 44         |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.02540448 |
|    clip_fraction        | 0.308      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.991     |
|    explained_variance   | 0.941      |
|    learning_rate        | 0.0003     |
|    loss                 | 6.82       |
|    n_updates            | 5020       |
|    policy_gradient_loss | -8.2e-05   |
|    std                  | 0.324      |
|    value_loss           | 10.3       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 135         |
|    ep_rew_mean          | -22.4       |
| time/                   |             |
|    fps                  | 2394        |
|    iterations           | 14          |
|    time_elapsed         | 47          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.016949978 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.975      |
|    explained_variance   | 0.914       |
|    learning_rate        | 0.0003      |
|    loss                 | 10.7        |
|    n_updates            | 5030        |
|    policy_gradient_loss | -0.00797    |
|    std                  | 0.321       |
|    value_loss           | 18.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 139         |
|    ep_rew_mean          | -24.1       |
| time/                   |             |
|    fps                  | 2380        |
