Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v24/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v25\logs\pp_v25_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 72.1     |
|    ep_rew_mean     | 4.19     |
| time/              |          |
|    fps             | 3830     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | -10.7       |
| time/                   |             |
|    fps                  | 2818        |
|    iterations           | 2           |
|    time_elapsed         | 5           |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.016049974 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.767      |
|    explained_variance   | 0.895       |
|    learning_rate        | 0.0003      |
|    loss                 | 11.2        |
|    n_updates            | 7360        |
|    policy_gradient_loss | -0.00847    |
|    std                  | 0.332       |
|    value_loss           | 26.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 116         |
|    ep_rew_mean          | -11.9       |
| time/                   |             |
|    fps                  | 2683        |
|    iterations           | 3           |
|    time_elapsed         | 9           |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.023825185 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.741      |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.83        |
|    n_updates            | 7370        |
|    policy_gradient_loss | -0.0114     |
|    std                  | 0.329       |
|    value_loss           | 10.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 123         |
|    ep_rew_mean          | -12.4       |
| time/                   |             |
|    fps                  | 2553        |
|    iterations           | 4           |
|    time_elapsed         | 12          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.047550544 |
|    clip_fraction        | 0.381       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.741      |
|    explained_variance   | 0.956       |
