Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v13/checkpoints/ckpt_1600000.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v14\logs\pp_v14_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 35.5     |
|    ep_rew_mean     | 30.6     |
| time/              |          |
|    fps             | 3803     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 214         |
|    ep_rew_mean          | -59.8       |
| time/                   |             |
|    fps                  | 1551        |
|    iterations           | 2           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009141775 |
|    clip_fraction        | 0.0912      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.904       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.77        |
|    n_updates            | 12680       |
|    policy_gradient_loss | -0.00623    |
|    std                  | 0.454       |
|    value_loss           | 8.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 247         |
|    ep_rew_mean          | -81.2       |
| time/                   |             |
|    fps                  | 1277        |
|    iterations           | 3           |
|    time_elapsed         | 19          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.013614631 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.52        |
|    n_updates            | 12690       |
|    policy_gradient_loss | -0.00287    |
|    std                  | 0.453       |
|    value_loss           | 7.89        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 287         |
|    ep_rew_mean          | -97.2       |
| time/                   |             |
|    fps                  | 1198        |
|    iterations           | 4           |
|    time_elapsed         | 27          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.012164218 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.43       |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.572       |
|    n_updates            | 12700       |
|    policy_gradient_loss | -0.00164    |
|    std                  | 0.454       |
|    value_loss           | 2.93        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 270         |
|    ep_rew_mean          | -85.6       |
| time/                   |             |
|    fps                  | 1134        |
|    iterations           | 5           |
|    time_elapsed         | 36          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.013302369 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.4        |
|    explained_variance   | 0.935       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.441       |
|    n_updates            | 12710       |
|    policy_gradient_loss | -0.00507    |
|    std                  | 0.45        |
|    value_loss           | 3.47        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 264         |
|    ep_rew_mean          | -80.8       |
| time/                   |             |
|    fps                  | 1111        |
|    iterations           | 6           |
|    time_elapsed         | 44          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.014187994 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.239       |
|    n_updates            | 12720       |
|    policy_gradient_loss | -0.00532    |
|    std                  | 0.447       |
|    value_loss           | 2.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 303         |
|    ep_rew_mean          | -99.8       |
| time/                   |             |
|    fps                  | 1084        |
|    iterations           | 7           |
|    time_elapsed         | 52          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.010656919 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.68        |
|    n_updates            | 12730       |
|    policy_gradient_loss | -0.00268    |
|    std                  | 0.449       |
|    value_loss           | 3.4         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 332          |
|    ep_rew_mean          | -114         |
| time/                   |              |
|    fps                  | 1072         |
|    iterations           | 8            |
|    time_elapsed         | 61           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0142404875 |
|    clip_fraction        | 0.15         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.35        |
|    explained_variance   | 0.907        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.67         |
|    n_updates            | 12740        |
|    policy_gradient_loss | -0.0037      |
|    std                  | 0.445        |
|    value_loss           | 5.14         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 331         |
|    ep_rew_mean          | -113        |
| time/                   |             |
|    fps                  | 1057        |
|    iterations           | 9           |
|    time_elapsed         | 69          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.016653327 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.15        |
|    n_updates            | 12750       |
|    policy_gradient_loss | -0.00504    |
|    std                  | 0.444       |
|    value_loss           | 5.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
