Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v10/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v13\logs\pp_v13_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 37.2     |
|    ep_rew_mean     | 29.1     |
| time/              |          |
|    fps             | 4241     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 8192     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 222        |
|    ep_rew_mean          | -68.5      |
| time/                   |            |
|    fps                  | 1580       |
|    iterations           | 2          |
|    time_elapsed         | 10         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.01083209 |
|    clip_fraction        | 0.117      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.51      |
|    explained_variance   | 0.926      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.97       |
|    n_updates            | 10730      |
|    policy_gradient_loss | -0.00325   |
|    std                  | 0.458      |
|    value_loss           | 12.3       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | -62.6       |
| time/                   |             |
|    fps                  | 1310        |
|    iterations           | 3           |
|    time_elapsed         | 18          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.013988995 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.53       |
|    explained_variance   | 0.95        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.14        |
|    n_updates            | 10740       |
|    policy_gradient_loss | 0.000423    |
|    std                  | 0.461       |
|    value_loss           | 7.22        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 287         |
|    ep_rew_mean          | -69.1       |
| time/                   |             |
|    fps                  | 1220        |
|    iterations           | 4           |
|    time_elapsed         | 26          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.014979968 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.53       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.514       |
|    n_updates            | 10750       |
|    policy_gradient_loss | -0.00296    |
|    std                  | 0.459       |
|    value_loss           | 3.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 276         |
|    ep_rew_mean          | -44.2       |
| time/                   |             |
|    fps                  | 1160        |
|    iterations           | 5           |
|    time_elapsed         | 35          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.016733743 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.51       |
|    explained_variance   | 0.922       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.61        |
|    n_updates            | 10760       |
|    policy_gradient_loss | -0.000513   |
|    std                  | 0.457       |
|    value_loss           | 3.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 285         |
|    ep_rew_mean          | -62.5       |
| time/                   |             |
|    fps                  | 1135        |
|    iterations           | 6           |
|    time_elapsed         | 43          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.011593772 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.54       |
|    explained_variance   | 0.883       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.847       |
|    n_updates            | 10770       |
|    policy_gradient_loss | -0.00168    |
|    std                  | 0.463       |
|    value_loss           | 4.68        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 306         |
|    ep_rew_mean          | -78.5       |
| time/                   |             |
|    fps                  | 1114        |
|    iterations           | 7           |
|    time_elapsed         | 51          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.010025336 |
|    clip_fraction        | 0.0904      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.57       |
|    explained_variance   | 0.911       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.44        |
|    n_updates            | 10780       |
|    policy_gradient_loss | -0.00332    |
|    std                  | 0.465       |
|    value_loss           | 10.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 338         |
|    ep_rew_mean          | -98.2       |
| time/                   |             |
|    fps                  | 1098        |
|    iterations           | 8           |
|    time_elapsed         | 59          |
