Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v19/checkpoints/ckpt_800000.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v21\logs\pp_v21_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 23.5     |
|    ep_rew_mean     | 29.5     |
| time/              |          |
|    fps             | 3709     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 97.6        |
|    ep_rew_mean          | -16.3       |
| time/                   |             |
|    fps                  | 1526        |
|    iterations           | 2           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.021510288 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.65       |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.52        |
|    n_updates            | 22660       |
|    policy_gradient_loss | -0.0107     |
|    std                  | 0.526       |
|    value_loss           | 11.9        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 103        |
|    ep_rew_mean          | -11.3      |
| time/                   |            |
|    fps                  | 1268       |
|    iterations           | 3          |
|    time_elapsed         | 19         |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.03463873 |
|    clip_fraction        | 0.217      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.65      |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.966      |
|    n_updates            | 22670      |
|    policy_gradient_loss | -0.001     |
|    std                  | 0.526      |
|    value_loss           | 6.16       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 74.5        |
|    ep_rew_mean          | 5.37        |
| time/                   |             |
|    fps                  | 1178        |
|    iterations           | 4           |
|    time_elapsed         | 27          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.019143425 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.778       |
|    n_updates            | 22680       |
|    policy_gradient_loss | 0.00259     |
|    std                  | 0.526       |
|    value_loss           | 2.87        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.3        |
|    ep_rew_mean          | -1.18       |
| time/                   |             |
|    fps                  | 1118        |
|    iterations           | 5           |
|    time_elapsed         | 36          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.019766564 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.73        |
|    n_updates            | 22690       |
|    policy_gradient_loss | 0.00177     |
|    std                  | 0.528       |
|    value_loss           | 2.75        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 91.5       |
|    ep_rew_mean          | -1.92      |
| time/                   |            |
|    fps                  | 1091       |
|    iterations           | 6          |
|    time_elapsed         | 45         |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.01681519 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.66      |
|    explained_variance   | 0.987      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.465      |
|    n_updates            | 22700      |
|    policy_gradient_loss | -0.00202   |
|    std                  | 0.526      |
|    value_loss           | 3.42       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 115         |
|    ep_rew_mean          | -25.6       |
| time/                   |             |
|    fps                  | 1065        |
|    iterations           | 7           |
|    time_elapsed         | 53          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.012493304 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.64       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.23        |
|    n_updates            | 22710       |
|    policy_gradient_loss | -0.00426    |
|    std                  | 0.524       |
|    value_loss           | 5.83        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.3        |
|    ep_rew_mean          | 3.26        |
| time/                   |             |
|    fps                  | 1050        |
|    iterations           | 8           |
|    time_elapsed         | 62          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.018008871 |
