Using cuda device
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v20\logs\pp_v20_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 27.2     |
|    ep_rew_mean     | -2.6     |
| time/              |          |
|    fps             | 4132     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 169          |
|    ep_rew_mean          | -136         |
| time/                   |              |
|    fps                  | 3088         |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0052049733 |
|    clip_fraction        | 0.0425       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | 0.0175       |
|    learning_rate        | 0.0003       |
|    loss                 | 16.2         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00309     |
|    std                  | 0.994        |
|    value_loss           | 77.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 219          |
|    ep_rew_mean          | -184         |
| time/                   |              |
|    fps                  | 2914         |
|    iterations           | 3            |
|    time_elapsed         | 8            |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0034184135 |
|    clip_fraction        | 0.0107       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.65        |
|    explained_variance   | 0.313        |
|    learning_rate        | 0.0003       |
|    loss                 | 21.3         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00166     |
|    std                  | 0.997        |
|    value_loss           | 88.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 281          |
|    ep_rew_mean          | -230         |
| time/                   |              |
|    fps                  | 2793         |
|    iterations           | 4            |
|    time_elapsed         | 11           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0055339457 |
|    clip_fraction        | 0.0327       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | 0.578        |
|    learning_rate        | 0.0003       |
|    loss                 | 24.3         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00386     |
|    std                  | 0.996        |
|    value_loss           | 65.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 299         |
|    ep_rew_mean          | -237        |
| time/                   |             |
|    fps                  | 2705        |
|    iterations           | 5           |
|    time_elapsed         | 15          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.006338343 |
|    clip_fraction        | 0.0286      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.65       |
|    explained_variance   | 0.63        |
|    learning_rate        | 0.0003      |
|    loss                 | 19.7        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00329    |
|    std                  | 0.989       |
|    value_loss           | 52.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 310         |
|    ep_rew_mean          | -245        |
| time/                   |             |
|    fps                  | 2653        |
|    iterations           | 6           |
|    time_elapsed         | 18          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.005504093 |
|    clip_fraction        | 0.0236      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.63       |
|    explained_variance   | 0.703       |
|    learning_rate        | 0.0003      |
|    loss                 | 16.2        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00248    |
|    std                  | 0.989       |
|    value_loss           | 54.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 219          |
|    ep_rew_mean          | -168         |
| time/                   |              |
|    fps                  | 2630         |
|    iterations           | 7            |
|    time_elapsed         | 21           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0049201744 |
|    clip_fraction        | 0.0433       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.835        |
|    learning_rate        | 0.0003       |
|    loss                 | 8.34         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00385     |
|    std                  | 0.988        |
|    value_loss           | 29.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 231          |
|    ep_rew_mean          | -176         |
| time/                   |              |
|    fps                  | 2613         |
|    iterations           | 8            |
|    time_elapsed         | 25           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0059258994 |
|    clip_fraction        | 0.0381       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.61        |
