Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v15/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v16\logs\pp_v16_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 27.1     |
|    ep_rew_mean     | 16.6     |
| time/              |          |
|    fps             | 3878     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 123         |
|    ep_rew_mean          | -35.2       |
| time/                   |             |
|    fps                  | 1546        |
|    iterations           | 2           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.014829146 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.811       |
|    learning_rate        | 0.0003      |
|    loss                 | 27.7        |
|    n_updates            | 17320       |
|    policy_gradient_loss | -0.0105     |
|    std                  | 0.399       |
|    value_loss           | 33.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | -28.2       |
| time/                   |             |
|    fps                  | 1273        |
|    iterations           | 3           |
|    time_elapsed         | 19          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.025060326 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | 0.911       |
|    learning_rate        | 0.0003      |
|    loss                 | 11.3        |
|    n_updates            | 17330       |
|    policy_gradient_loss | -0.00993    |
|    std                  | 0.4         |
|    value_loss           | 21.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 127         |
|    ep_rew_mean          | -31.4       |
| time/                   |             |
|    fps                  | 1188        |
|    iterations           | 4           |
|    time_elapsed         | 27          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.029975353 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.55        |
|    n_updates            | 17340       |
|    policy_gradient_loss | -0.00602    |
|    std                  | 0.402       |
|    value_loss           | 19.9        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 139       |
|    ep_rew_mean          | -46.8     |
| time/                   |           |
|    fps                  | 1127      |
|    iterations           | 5         |
|    time_elapsed         | 36        |
|    total_timesteps      | 40960     |
| train/                  |           |
|    approx_kl            | 0.0817454 |
|    clip_fraction        | 0.271     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.6      |
|    explained_variance   | 0.937     |
|    learning_rate        | 0.0003    |
|    loss                 | 5.91      |
|    n_updates            | 17350     |
|    policy_gradient_loss | 0.00195   |
|    std                  | 0.404     |
|    value_loss           | 15.6      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 122        |
|    ep_rew_mean          | -34.2      |
| time/                   |            |
|    fps                  | 1101       |
|    iterations           | 6          |
|    time_elapsed         | 44         |
|    total_timesteps      | 49152      |
| train/                  |            |
